order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,180,CUST_0180,5/9/2023,2023-01-03T17:48:00.000Z,PROD_198,146,8,4,130.62,404.94,140.51,570.30,0.00,9.98,0.00,delivered,SHIPPED,credit_card,8984 Oak Ave,,
ORD_00002,2,337,CUST_0337,2023-11-30,2023-01-20T08:04:00.000Z,PROD_044,41,1,3,36.21,324.83,887.54,700.84,12.26,13.20,0.00,processing,,paypal,6820 Oak Ave,,
ORD_00003,3,384,CUST_0384,2023-01-17,,PROD_001,100,9,3,146.71,145.07,352.45,834.33,17.65,14.00,0.00,processing,CANCELLED,bank_transfer,751 Oak Ave,,TRK510443
ORD_00004,4,22,CUST_0022,2023-08-06,2023-02-20T13:37:00.000Z,PROD_129,153,2,2,109.64,232.03,674.66,203.85,0.00,10.51,0.00,CANCELLED,processing,cash,9781 Oak Ave,,
ORD_00005,5,168,CUST_0168,1/13/2023,2023-09-02T02:34:00.000Z,PROD_074,157,7,1,413.82,69.90,813.13,178.07,7.00,50.25,0.00,pending,pending,credit_card,6747 Pine Rd,Special delivery instructions,
ORD_00006,6,295,CUST_0295,2023-05-12,2023-02-15T22:46:00.000Z,PROD_142,180,8,3,430.81,197.27,849.75,826.86,13.77,31.67,0.00,processing,,credit_card,1193 Pine Rd,,TRK118744
ORD_00007,7,143,CUST_0143,,2023-10-20T20:18:00.000Z,PROD_081,90,5,3,447.97,274.58,654.69,379.92,10.41,41.15,0.00,delivered,pending,bank_transfer,2101 Pine Rd,,
ORD_00008,8,178,CUST_0178,5/25/2023,2023-02-12T04:49:00.000Z,PROD_046,168,9,4,364.75,208.82,975.95,827.06,18.22,12.82,0.00,SHIPPED,delivered,debit_card,1718 Pine Rd,,TRK745174
ORD_00009,9,229,CUST_0229,6/11/2023,,PROD_087,186,2,5,60.24,160.47,752.45,516.36,17.40,50.95,0.00,processing,CANCELLED,paypal,8912 Main St,,
ORD_00010,10,198,CUST_0198,4/26/2023,2023-02-08T19:58:00.000Z,PROD_064,151,4,3,423.66,380.03,978.81,169.98,0.00,2.15,0.00,,,bank_transfer,2277 Main St,,
ORD_00011,11,179,CUST_0179,2023-12-04,2023-05-23T06:37:00.000Z,PROD_098,142,4,4,430.76,309.31,79.94,532.16,23.62,24.90,18.36,pending,pending,paypal,4717 Pine Rd,,TRK919582
ORD_00012,12,124,CUST_0124,8/11/2023,2023-10-02T02:31:00.000Z,PROD_168,38,8,3,316.80,148.52,859.84,141.16,0.00,42.12,0.00,CANCELLED,returned,cash,4038 Main St,Special delivery instructions,
ORD_00013,13,163,CUST_0163,4/25/2023,2023-05-17T13:25:00.000Z,PROD_034,166,6,1,487.91,86.93,697.65,817.57,12.68,14.95,30.96,returned,delivered,bank_transfer,6533 Main St,,
ORD_00014,14,382,CUST_0382,10/18/2023,2023-03-16T08:24:00.000Z,PROD_018,65,5,1,264.02,74.71,291.55,690.72,0.00,32.13,0.00,SHIPPED,CANCELLED,debit_card,9364 Main St,Special delivery instructions,
ORD_00015,15,187,CUST_0187,3/3/2023,2023-03-19T02:26:00.000Z,PROD_033,175,10,2,63.95,339.66,299.25,574.15,0.00,11.99,0.00,processing,processing,cash,3445 Main St,Special delivery instructions,
ORD_00016,16,284,CUST_0284,2023-12-07,2023-02-21T19:22:00.000Z,PROD_163,141,10,1,318.65,63.26,915.48,59.91,16.12,30.85,14.69,returned,pending,paypal,5942 Pine Rd,,TRK429287
