dataset,column,types,sample_values,unique_count,null_percentage,notes
customers,customer_id,['int'],"[1, 2, 3, 4, 5]",500,0.0,
customers,cust_id,['str'],"['CUST_0001', 'CUST_0002', 'CUST_0003', 'CUST_0004', 'CUST_0005']",500,0.0,
customers,customer_name,['str'],"['henry.davis123', 'jane_doe', 'Grace Lee', 'John Smith', 'alice.johnson@email.com']",10,0.0,
customers,full_name,['str'],"['John Smith', 'jane_doe', 'Charlie Brown', 'diana.prince', 'EVE WHITE']",10,0.0,
customers,email,['str'],"['customer1@example.com', 'customer3@example.com', 'customer4@example.com', 'customer5@example.com', 'customer6@example.com']",401,19.8,
customers,email_address,['str'],"['user1@domain.com', 'user2@domain.com', '', 'user5@domain.com', 'user6@domain.com']",357,0.0,
customers,phone,['str'],"['555-3757', '555-2711', '555-3525', '555-5864', '555-6391']",208,58.4,
customers,phone_number,['str'],"['', '(555) 376-9467', '(555) 998-4735', '(555) 930-4810', '(555) 612-1072']",257,0.0,
customers,address,['str'],"['2356 Pine Rd', '9075 Oak Ave', '1522 Second Ave', '9885 Second Ave', '4240 Second Ave']",494,0.0,
customers,city,['str'],"['Houston', 'Phoenix', 'New York', 'Chicago', 'NYC']",10,0.0,
customers,state,['str'],"['California', 'AZ', 'New York', 'IL', 'PA']",8,0.0,
customers,zip_code,['float'],"[13375.0, 47793.0, 95669.0, 32649.0, 75004.0]",358,28.2,
customers,postal_code,['str'],"['81012-7131', '43335-5087', '59904-1550', '60808-9661', '97458-9695']",305,0.0,
customers,registration_date,['str'],"['12/11/2023', '6/12/2022', '11/19/2023', '1/28/2022', '8/16/2023']",370,21.6,
customers,reg_date,['str'],"['', '2021-12-28', '2021-01-11', '2021-01-03', '2020-07-25']",298,0.0,
customers,status,['str'],"['suspended', 'ACTIVE', 'INACTIVE', 'active', '']",7,11.6,
customers,customer_status,['str'],"['active', '', 'pending', 'inactive', 'INACTIVE']",7,13.8,
customers,total_orders,['int'],"[43, 10, 7, 6, 20]",50,0.0,
customers,total_spent,['float'],"[2527.99, 1611.75, 156.96, 4229.64, 2685.28]",500,0.0,
customers,loyalty_points,['int'],"[690, 513, 461, 959, 79]",394,0.0,
customers,preferred_payment,['str'],"['debit_card', 'paypal', 'credit_card', 'cash']",4,22.4,
customers,age,['float'],"[53.0, 34.0, 77.0, 20.0, 24.0]",60,36.4,
customers,birth_date,['str'],"['1978-02-12', '1970-02-24', '1998-02-17', '1994-01-06', '1990-02-05']",208,58.2,
customers,gender,['str'],"['F', '', 'Other', 'Male', 'Female']",6,11.8,
customers,segment,['str'],"['regular', 'premium', 'new', 'vip']",4,21.6,
products,product_id,['str'],"['PROD_001', 'PROD_002', 'PROD_003', 'PROD_004', 'PROD_005']",200,0.0,
products,item_id,['int'],"[1, 2, 3, 4, 5]",200,0.0,
products,product_name,['str'],"['Product 1', 'Product 2', 'Product 3', 'Product 4', 'Product 5']",200,0.0,
products,item_name,['str'],"['Item 1 Name', 'Item 2 Name', 'Item 3 Name', 'Item 4 Name', 'Item 5 Name']",200,0.0,
products,description,['str'],"['Description for product 2', 'Description for product 3', 'Description for product 4', 'Description for product 6', 'Description for product 7']",144,28.0,
