order_id,customer_id,order_date,order_datetime,product_id,item_id,quantity,unit_price,total_amount,order_total,shipping_cost,tax,discount,status,payment_method,shipping_address,tracking_number,quantity_conflict,total_mismatch
ORD_00001,180,2023-05-09,2023-01-03 17:48:00+00:00,PROD_198,146,8,130.62,1044.96,1054.94,0.0,9.98,0.0,DELIVERED,credit_card,8984 Oak Ave,TRK832761,True,True
ORD_00002,337,2023-11-30,2023-01-20 08:04:00+00:00,PROD_044,41,3,36.21,108.63,134.09,12.26,13.2,0.0,PROCESSING,paypal,6820 Oak Ave,,True,True
ORD_00003,384,2023-01-17,2023-01-17 12:00:00,PROD_001,100,9,146.71,1320.39,1352.0400000000002,17.65,14.0,0.0,CANCELLED,bank_transfer,751 Oak Ave,TRK510443,True,True
ORD_00004,22,2023-08-06,2023-02-20 13:37:00+00:00,PROD_129,153,2,109.64,219.28,229.79,0.0,10.51,0.0,CANCELLED,cash,9781 Oak Ave,,False,True
ORD_00005,168,2023-01-13,2023-09-02 02:34:00+00:00,PROD_074,157,7,413.82,2896.74,2953.99,7.0,50.25,0.0,PENDING,credit_card,6747 Pine Rd,,True,True
ORD_00006,295,2023-05-12,2023-02-15 22:46:00+00:00,PROD_142,180,8,430.81,3446.48,3491.92,13.77,31.67,0.0,PROCESSING,credit_card,1193 Pine Rd,TRK118744,True,True
ORD_00007,143,2023-10-20,2023-10-20 20:18:00+00:00,PROD_081,90,5,447.97,2239.8500000000004,2291.4100000000003,10.41,41.15,0.0,DELIVERED,bank_transfer,2101 Pine Rd,TRK291862,True,True
ORD_00008,178,2023-05-25,2023-02-12 04:49:00+00:00,PROD_046,168,9,364.75,3282.75,3313.79,18.22,12.82,0.0,DELIVERED,debit_card,1718 Pine Rd,TRK745174,True,True
ORD_00009,229,2023-06-11,2023-06-11 12:00:00,PROD_087,186,5,60.24,301.2,369.54999999999995,17.4,50.95,0.0,CANCELLED,paypal,8912 Main St,,True,True
ORD_00010,198,2023-04-26,2023-02-08 19:58:00+00:00,PROD_064,151,4,423.66,1694.64,1696.7900000000002,0.0,2.15,0.0,PENDING,bank_transfer,2277 Main St,,True,True
ORD_00011,179,2023-12-04,2023-05-23 06:37:00+00:00,PROD_098,142,4,430.76,1704.68,1753.2,23.62,24.9,18.36,PENDING,paypal,4717 Pine Rd,TRK919582,False,True
ORD_00012,124,2023-08-11,2023-10-02 02:31:00+00:00,PROD_168,38,8,316.8,2534.4,2576.52,0.0,42.12,0.0,CANCELLED,cash,4038 Main St,,True,True
ORD_00013,163,2023-04-25,2023-05-17 13:25:00+00:00,PROD_034,166,6,487.91,2896.5,2924.1299999999997,12.68,14.95,30.96,DELIVERED,bank_transfer,6533 Main St,,True,True
ORD_00014,382,2023-10-18,2023-03-16 08:24:00+00:00,PROD_018,65,5,264.02,1320.1,1352.23,0.0,32.13,0.0,SHIPPED,debit_card,9364 Main St,TRK309213,True,True
ORD_00015,187,2023-03-03,2023-03-19 02:26:00+00:00,PROD_033,175,10,63.95,639.5,651.49,0.0,11.99,0.0,PROCESSING,cash,3445 Main St,,True,True
ORD_00016,284,2023-12-07,2023-02-21 19:22:00+00:00,PROD_163,141,10,318.65,3171.81,3218.7799999999997,16.12,30.85,14.69,PENDING,paypal,5942 Pine Rd,TRK429287,True,True
ORD_00017,375,2023-03-17,2023-07-05 16:55:00+00:00,PROD_091,21,6,298.96,1793.7599999999998,1818.8899999999999,19.63,5.5,0.0,SHIPPED,bank_transfer,7951 Oak Ave,TRK191876,True,True
ORD_00018,363,2023-08-02,2023-08-02 13:17:00+00:00,PROD_009,59,5,111.87,559.35,566.77,0.0,7.42,0.0,DELIVERED,debit_card,9147 Oak Ave,TRK561559,True,True
ORD_00019,461,2023-12-11,2023-05-20 16:47:00+00:00,PROD_094,19,4,317.64,1270.56,1305.44,15.24,19.64,0.0,SHIPPED,paypal,4018 Main St,,True,True
ORD_00020,41,2023-01-10,2023-12-09 11:12:00+00:00,PROD_194,153,9,244.01,2196.09,2247.8300000000004,11.82,39.92,0.0,SHIPPED,bank_transfer,3356 Main St,,True,True
ORD_00021,255,2023-11-16,2023-10-09 00:18:00+00:00,PROD_144,163,4,389.37,1519.32,1566.71,0.0,47.39,38.16,DELIVERED,debit_card,269 Main St,TRK324821,True,True
ORD_00022,164,2023-05-27,2023-05-27 12:00:00,PROD_106,52,7,83.66,585.62,633.21,0.0,47.59,0.0,CANCELLED,bank_transfer,3347 Oak Ave,TRK637233,True,True
ORD_00023,491,2023-07-07,2023-08-24 11:29:00+00:00,PROD_098,181,10,115.1,1151.0,1201.54,0.0,50.54,0.0,PROCESSING,debit_card,4539 Oak Ave,,True,True
ORD_00024,423,2023-06-10,2023-06-16 05:25:00+00:00,PROD_131,128,6,141.27,847.6200000000001,906.9100000000001,12.28,47.01,0.0,DELIVERED,paypal,1667 Pine Rd,TRK544213,True,True
ORD_00025,292,,,PROD_150,77,8,335.01,2680.08,2701.9,0.0,21.82,0.0,SHIPPED,cash,382 Main St,TRK699110,True,True
ORD_00026,359,2023-03-24,2023-01-02 19:38:00+00:00,PROD_138,51,5,476.44,2382.2,2402.45,0.0,20.25,0.0,DELIVERED,debit_card,5580 Pine Rd,TRK480348,True,True
ORD_00027,149,2023-10-05,2023-09-13 10:35:00+00:00,PROD_182,62,6,222.75,1336.5,1380.8,21.8,22.5,0.0,DELIVERED,cash,3020 Main St,TRK210520,True,True
ORD_00028,192,2023-04-25,2023-04-12 01:44:00+00:00,PROD_083,34,7,353.58,2475.06,2527.54,19.41,33.07,0.0,PROCESSING,debit_card,3203 Pine Rd,,True,True
ORD_00029,443,2023-03-26,2023-12-09 17:09:00+00:00,PROD_142,183,6,183.24,1099.44,1146.1200000000001,0.0,46.68,0.0,PENDING,paypal,1039 Oak Ave,TRK512143,True,True
ORD_00030,141,2023-08-04,2023-01-22 10:44:00+00:00,PROD_115,139,5,99.64,459.36999999999995,476.46999999999997,0.0,17.1,38.83,SHIPPED,cash,3754 Main St,TRK273060,True,True
ORD_00031,86,2023-04-28,2023-07-22 13:58:00+00:00,PROD_032,35,4,226.9,907.6,914.76,0.0,7.16,0.0,CANCELLED,debit_card,5199 Pine Rd,,True,True
ORD_00032,482,,,PROD_108,21,8,207.53,1617.83,1651.62,0.0,33.79,42.41,PENDING,credit_card,6385 Main St,TRK843225,True,True
ORD_00033,355,2023-11-15,2023-10-18 04:16:00+00:00,PROD_091,151,5,109.55,547.75,591.89,5.88,38.26,0.0,PENDING,paypal,5657 Pine Rd,,True,True
ORD_00034,168,2023-04-11,2023-04-11 12:00:00,PROD_160,25,9,163.29,1469.61,1477.1599999999999,0.0,7.55,0.0,SHIPPED,cash,9940 Oak Ave,TRK263325,True,True
ORD_00035,77,2023-06-22,2023-06-22 12:00:00,PROD_005,91,10,29.87,285.22999999999996,311.79999999999995,24.27,2.3,13.47,CANCELLED,bank_transfer,769 Pine Rd,,True,True
ORD_00036,142,2023-02-15,2023-09-05 22:29:00+00:00,PROD_009,95,6,401.88,2411.2799999999997,2463.85,13.19,39.38,0.0,DELIVERED,debit_card,7300 Main St,TRK632820,True,True
ORD_00037,455,2023-01-24,2023-09-08 21:39:00+00:00,PROD_197,128,9,141.66,1230.44,1274.64,23.74,20.46,44.5,DELIVERED,cash,9656 Oak Ave,TRK782598,True,True
ORD_00038,48,2023-05-26,2023-04-12 15:45:00+00:00,PROD_071,187,10,336.42,3345.5000000000005,3399.7200000000003,16.45,37.77,18.7,PROCESSING,debit_card,2325 Oak Ave,TRK244389,True,True
ORD_00039,362,2023-04-18,2023-03-11 21:36:00+00:00,PROD_038,2,2,463.22,926.44,973.92,12.92,34.56,0.0,PENDING,paypal,3292 Pine Rd,TRK543619,True,True
ORD_00040,201,2023-02-09,2023-02-25 08:10:00+00:00,PROD_196,82,9,153.26,1358.1999999999998,1421.2199999999998,22.86,40.16,21.14,SHIPPED,paypal,1174 Oak Ave,TRK528787,True,True
ORD_00041,278,2023-05-15,2023-06-22 19:15:00+00:00,PROD_178,136,4,474.57,1898.28,1918.02,0.0,19.74,0.0,PENDING,credit_card,4776 Pine Rd,TRK152672,True,True
ORD_00042,403,2023-03-27,2023-03-15 20:24:00+00:00,PROD_083,49,5,132.3,661.5,674.76,10.68,2.58,0.0,SHIPPED,cash,5939 Main St,TRK882833,True,True
ORD_00043,82,2023-05-22,2023-01-20 17:59:00+00:00,PROD_079,96,9,253.23,2279.0699999999997,2334.4999999999995,15.98,39.45,0.0,DELIVERED,bank_transfer,1926 Pine Rd,TRK908743,True,True
ORD_00044,152,2023-02-07,2023-04-24 17:44:00+00:00,PROD_131,195,4,411.25,1641.37,1701.37,11.62,48.38,3.63,DELIVERED,debit_card,6243 Oak Ave,TRK189058,True,True
ORD_00045,102,2023-04-15,2023-06-23 21:07:00+00:00,PROD_059,73,7,344.49,2411.4300000000003,2444.6600000000003,15.16,18.07,0.0,SHIPPED,cash,5715 Main St,TRK259738,True,True
ORD_00046,272,2023-10-27,2023-02-18 05:25:00+00:00,PROD_123,9,3,282.14,846.4200000000001,882.48,0.0,36.06,0.0,PENDING,debit_card,9082 Main St,TRK130329,True,True
ORD_00047,23,2023-06-18,2023-10-03 21:52:00+00:00,PROD_105,60,6,259.02,1554.12,1597.6299999999999,0.0,43.51,0.0,DELIVERED,debit_card,4288 Main St,TRK761438,True,True
ORD_00048,40,2023-09-08,2023-05-23 18:27:00+00:00,PROD_049,109,5,342.86,1693.89,1747.8300000000002,20.14,33.8,20.41,DELIVERED,paypal,2048 Pine Rd,TRK126491,True,True
ORD_00049,143,2023-07-03,2023-01-13 14:44:00+00:00,PROD_078,177,9,53.27,479.43,506.09,13.9,12.76,0.0,SHIPPED,credit_card,7045 Pine Rd,TRK761119,True,True
ORD_00050,48,2023-01-04,2023-11-12 00:58:00+00:00,PROD_186,168,5,20.1,56.71000000000001,82.96000000000001,13.36,12.89,43.79,PENDING,bank_transfer,7974 Oak Ave,,False,True
ORD_00051,238,2023-07-26,2023-07-26 17:28:00+00:00,PROD_074,165,5,108.74,543.6999999999999,608.8599999999999,14.78,50.38,0.0,CANCELLED,credit_card,8216 Main St,TRK486619,True,True
ORD_00052,259,2023-09-15,2023-11-10 20:05:00+00:00,PROD_114,140,8,216.81,1734.48,1771.26,16.84,19.94,0.0,DELIVERED,paypal,3057 Oak Ave,TRK733278,True,True
